id,header_review,ulasan,label
976,Tidak Sesuai,"gambar difoto kayaknya pake sepatu ori yg harganya 800 rb an, foto dan barang samabentuknya,tapi bahan nya jelek,lah cuma 75rb,semoga pelapak memperbaikinya ,dan hargayg menyesuaikan...maaf pelapak..trims",1
977,Jaket Parka,Aq suka jaketnya pas bgtt tp qho luntur yh,1
978,"NoneNamun Akan Lebih Baik Apabila None",none,0
979,Kegedean,Pesan warna apa datang warna apa mana kegedean,0
980,Naturgo,"Belum dicoba, semoga hasilnya bagus",1
981,Smartwacht,Barang sesuai pesanan smart watch,1
982,Kualitas Lumayan,Kualitas sesuai harga. Cukup nyaman dipakai kalo ukuran pas,1
983,Good,barang yang di pesan sesuai dengan pesanan dan chat cepat tanggap pelayan bagus memuaskan.....!,1
984,Blm Tes,Baru trima blm tau cara penggunaannya. Bisa gak emailkan cara penggunaanya ke ralinelektronik69@gmail.com,1
985,Cepat,"Mas pelapak ramah,good respone.....komunikasi lancar sehingga customes nyaman belanja nya",1
986,Bagus,Bagus sesuai pesanan tpi pengirimanya agak lama,1
987,Mantapp Bgd..,mantapp bgd..,1
988,Barang Tidak Tersedia,Deskripsi barang ada nyatanya kosong,0
989,Putaran Hnya 2 Min,putaran hnya 2 min. putaran lancar hnya di 1 sisi.,0
990,Oklah,lumayanlah dapet dari flashdeal,1
991,Gan,Gan.. thankyou.. barang sampai dengan keadaan selamat...recomended...seller,1
992,Mancaaap,Jaitan bagus model klasik army. Bahan...kayanya bukan kanvas deh but it&apos;s ok over all gus stuff for classic style,1
993,Nah Lo,"Nah lo ketauan. Foto 1 n 2 akun saya, foto 3 akun suami saya. Flash sale 150 stok dibilang khbisan. Gnti motif pilih no 6 dikirim no 2. Suami ngecek tanya pelapaknya ternyata stok pilihan prtama masih banyak. Jgn diulang lg kasian pembeli",1
994,Biasaaa Ajaaaaa Ngecas Pun Lamaaaaaa,Lamaaaaa ngecasss ny biasaaaaa ajaaaa,1
995,Harganya,Lumayan bagus... syng hrga exp...,1
996,Biasa Saja,bentuknya kekinian,1
997,Sesuai Harga...,sesuai harga...,1
998,Tas Ransel,lokal sh iya beda Sama di gambar :( jahitan serba Keliatan .. mirip tas 30rb,0
999,Pelayanan Baik N Memuaskan .,Untuk order yg di respon sangat cepat .itulah bukti kalau shi pelaku usaha bener2 org yg tanggung jwb . baik order maupun service . itu kuncinya .,1
1000,Nice,nice,1
